board_size,depth,winNum_range,nodes_minmax_diff,nodes_alphabeta_diff,reduction_diff,speedup_diff
4x4,4,3-4,0.0,-101.0,7.426470588235304,39.58576410842265
4x4,5,3-4,432.0,-124.0,2.924751993220198,50.80804339017081
5x6,4,3-4,0.0,-755.0,8.092175777063233,191.04172928785337
5x6,5,3-4,3780.0,-1088.0,2.1890699880499227,519.6631540898034
8x8,4,2-7,19264.0,590.0,-0.9927501286899627,-598.467974797993
8x8,5,2-7,232288.0,1573.0,-0.2416533047804137,-1546.0591548938364
